1,Number One,1:42.211,SS
2,Legenda,1:42.220,SS
3,Sneaky,1:42.240,SS
4,Fooji,1:42.276,SS
5,Scolwerz,1:42.497,SS
6,NeXo,1:43.017,SS
7,Goldrush,1:43.488,S
8,Bálint,1:44.062,S
9,Rákoskutya,1:44.100,S
10,DarioDarcos,1:44.629,M
11,Kerepeczki Bence,1:45.640,S
12,Mateusz rex,1:46.961,SS
13,Ármin,1:47.031,SS
14,Adamski,1:54.291,SS
15,BMW,,
