1,Acha,43:24.792,1:09.386,1
2,Petert2007,43:34.145,1:10.032,1
3,Scolwerz,43:42.988,1:09.938,1
4,Bezzeg Dániel,43:44.723,1:11.208,1
5,Legenda,43:54.310,1:10.119,1
6,M4köszi,43:53.681,1:10.623,1
7,PS,43:54.941,1:11.391,1
8,Laci123,43:57.478,1:10.710,1
9,Bezzeg Bendegúz,44:05.908,1:11.964,1
10,bmw,44:13.523,1:10.899,1
11,mark1111,44:24.121,1:10.572,2
12,Informal,44:25.325,1:10.062,2
DNF,RF,,1:11.395,2
