1,RF,45:02.528,1:34.670,1
2,Scolwerz,45:02.847,1:33.875,1
3,Fooji,45:16.031,1:34.227,1
4,Babkonzerv,45:23.319,1:34.375,1
5,Nico,45:24.271,1:35.490,1
6,Nicosal,45:25.557,1:33.755,1
7,Unluck,45:27.768,1:35.447,1
8,Bálint,45:39.181,1:35.427,1
9,Legenda,45:40.831,1:33.935,1
10,Mathx,45:54.238,1:36.119,1
11,Lecso,45:58.903,1:36.675,1
12,Dobos Attila,45:59.285,1:36.793,1
13,bmw,46:00.118,1:36.422,1
14,Laci,46:45.451,1:37.805,1
