1,Acha,1:07.831,S
2,Bezzeg Dániel,1:07.869,S
3,Legenda,1:07.887,S
4,Scolwerz,1:07.924,S
5,M4köszi,1:08.272,S
6,PS,1:08.361,S
7,Bezzeg Bendegúz,1:08.446,S
8,mark1111,1:08.455,S
9,RF,1:08.582,S
10,Informal,1:08.617,S
11,Laci123,1:08.632,S
12,Petert2007,1:08.724,S
13,bmw,1:10.565,S
