1,Fooji,49:21.523,1:35.623,2
2,Sneaky,49:22.333,1:35.202,2
3,Scolwerz,49:23.447,1:35.284,2
4,bj,49:41.257,1:35.723,2
5,Yufex,49:55.262,1:36.431,2
6,Goldrush,50:05.271,1:35.537,2
7,BMW,50:18.708,1:35.843,2
8,Legenda,50:23.309,1:36.091,2
9,Rákoskutya,50:23.838,1:35.719,2
10,NeXo,50:28.386,1:36.679,2
11,Monte Carlo,50:43.885,1:36.589,2
12,Solo,50:45.076,1:36.906,3
13,Ronelox,52:00.000,1:37.937,3
14,Bálint,52:10.000,1:37.854,2
15,Ármin,52:20.000,1:41.008,4
16,Dávid,52:30.000,1:36.667,2
17,Noriss,55:00.000,1:36.783,4
18,Mateusz rex,55:10.000,1:40.148,3
DNF,Number One,-,1:36.047,3
DNF,lisek,-,1:37.604,2
