1,RF,1:24.116,I
2,Scolwerz,1:24.302,I
3,Unluck,1:24.878,I
4,Legenda,1:25.131,I
5,Szniki,1:25.131,I
6,Fooji,1:25.679,I
7,Nico,1:25.831,I
8,Babkonzerv,1:25.850,I
9,bmw,1:26.174,I
10,Mathx,1:26.594,I
11,bj,1:26.608,I
12,Profesional Moron,1:28.054,I
13,D4RK,1:28.562,I
14,Swerdver,1:29.341,I
