Mercedes AMG E-Sports Taunus,NeXo,Goldrush,ICEMAN
Red Bull  Fooji Powertrains,Fooji,Number One
Scuderia Ferrari,Roo,DarioDarcos,Zuppaq,Noriss
McLaren F1 Team,Ármin,Mateusz rex,Ati
Renault Sport,Bálint,Legenda
Red Bull Toro Rosso ,Dávid,Krisz,Ronelox
Sahara Force India,Scolwerz,Rákoskutya
Williams Martini Racing,bj,Monte Carlo,Solo
Alfa Romeo Sauber,Kerepeczki Bence,Vass Levente,lisek
Haas F1 Team,BMW,Sneaky
